Part,Value,Device,Package,Description,CATEGORY,COLOR,CONTACTS,CURRENT_RATING,DESCRIPTION,GENDER,MANUFACTURER,MOUNT_TYPE,MPN,OPERATING_TEMP,PART_STATUS,ROHS_COMPLIANT,SERIES,SUB-CATEGORY,THERMALLOSS,TYPE,VALUE,VOLTAGE_RATING,
D1,LED_GREEN,LED_G_1206,LEDC3216X75N_FLAT-G,Green LED Light,LED,GREEN,,,CHIP LED FLAT,,,,,,,,,CHIP,,FLAT_TOP,LED_GREEN,,
D2,LED_BLUE,LED_B_1206,LEDC3216X75N_FLAT-B,Blue LED Light,LED,BLUE,,,CHIP LED FLAT,,,,,,,,,CHIP,,FLAT_TOP,LED_BLUE,,
D4,LED_RED,LED_R_1206,LEDC3216X75N_FLAT-R,Red LED Light,LED,RED,,,CHIP LED FLAT,,,,,,,,,CHIP,,FLAT_TOP,LED_RED,,
FUD1,FIDUCIAL,FIDUCIAL,FIDUCIAL_40MIL,40 MIL Fiducial,FUD,,,,,,,,,,,,,,,,,,
FUD2,FIDUCIAL,FIDUCIAL,FIDUCIAL_40MIL,40 MIL Fiducial,FUD,,,,,,,,,,,,,,,,,,
FUD3,FIDUCIAL,FIDUCIAL,FIDUCIAL_40MIL,40 MIL Fiducial,FUD,,,,,,,,,,,,,,,,,,
FUD4,FIDUCIAL,FIDUCIAL,FIDUCIAL_40MIL,40 MIL Fiducial,FUD,,,,,,,,,,,,,,,,,,
FUD5,FIDUCIAL,FIDUCIAL,FIDUCIAL_40MIL,40 MIL Fiducial,FUD,,,,,,,,,,,,,,,,,,
FUD6,FIDUCIAL,FIDUCIAL,FIDUCIAL_40MIL,40 MIL Fiducial,FUD,,,,,,,,,,,,,,,,,,
J1,USBPORT,USBPORT,1734366,"USB(2.0) Type-A, RCPT, 4POS, THT-VERT",Connector,,4,1A,CONN RCPT USB2.0 TYPEA 4POS VERT,Receptacle,TE Connectivity,Vertical,1734366-1,-40° to +80°C,Active,RoHS Compliant,-,USB,,USB-A,,30VAC(rms),
J2,SPI_LCD_DISPLAY,SPI_LCD_DISPLAY,SPI_LCD_DISPLAY,"2.8 Adafruit SPI Display""",SPI,,,,,,,,,,,,,,,,,,
MGT1,MOUNTING_HOLE,MOUNTING_HOLE,MOUNTING_HOLE,Chassis Mounting Hole w/GND connection ability,MH,,,,,,,,,,,,,,,,,,
MGT2,MOUNTING_HOLE,MOUNTING_HOLE,MOUNTING_HOLE,Chassis Mounting Hole w/GND connection ability,MH,,,,,,,,,,,,,,,,,,
MGT3,MOUNTING_HOLE,MOUNTING_HOLE,MOUNTING_HOLE,Chassis Mounting Hole w/GND connection ability,MH,,,,,,,,,,,,,,,,,,
MGT4,MOUNTING_HOLE,MOUNTING_HOLE,MOUNTING_HOLE,Chassis Mounting Hole w/GND connection ability,MH,,,,,,,,,,,,,,,,,,
R1,POTENTIOMETER,POTENTIOMETER,POT-PO90S,Potentiometer - Examples:,POT,,,,,,,,,,,,,,,,,,
R2,POTENTIOMETER,POTENTIOMETER,POT-PO90S,Potentiometer - Examples:,POT,,,,,,,,,,,,,,,,,,
R3,1k,R_R1206,R1206,"RESISTOR, American symbol",RES,,,,,,,,,,,,,,,,,,
R4,,R_R1206,R1206,"RESISTOR, American symbol",RES,,,,,,,,,,,,,,,,,,
R5,0.1,R_R0603,R0603,"RESISTOR, American symbol",RES,,,,,,,,,,,,,,,,,,
SW1,PUSH_BUTTON,PUSH_BUTTON,BUTTON_12.5MM,12.5 MM Push Button,BUT,,,,,,,,,,,,,,,,,,
SW2,PUSH_BUTTON,PUSH_BUTTON,BUTTON_12.5MM,12.5 MM Push Button,BUT,,,,,,,,,,,,,,,,,,
U$1,POCKETBEAGLE,POCKETBEAGLE,POCKETBEAGLE,Pocketbeagle microcontroller device,MC,,,,,,,,,,,,,,,,,,
